PowerCapacity,Unit,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost,NoLoadCost,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency
640,Claus A,NL,COMC,GAS,0.525,5,1,0.016330409,0.016330409,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
1280,Claus C,NL,COMC,GAS,0.585,5,1,0.008423831,0.008423831,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
777,Eemshaven 1,NL,STUR,HRD,0.46,8,6,0.006839945,0.006839945,117242.17,0,0,0.5,0.395,7,0.8,,,,,,
777,Eemshaven 2,NL,STUR,HRD,0.46,8,6,0.006839945,0.006839945,117242.17,0,0,0.5,0.395,7,0.8,,,,,,
430,Eemshaven 3,NL,COMC,GAS,0.58,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
430,Eemshaven 4,NL,COMC,GAS,0.58,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
430,Eemshaven 5,NL,COMC,GAS,0.58,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
800,Maasvlakte,NL,STUR,HRD,0.395,8,6,0.006839945,0.006839945,117242.17,0,0,0.5,0.395,7,0.95,,,,,,
459,Velsen 1,NL,COMC,GAS,0.525,5,1,0.024495614,0.024495614,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
361,Velsen 2,NL,COMC,GAS,0.525,5,1,0.030941828,0.030941828,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
435,Sloecentrale 1,NL,COMC,GAS,0.587,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
435,Sloecentrale 2,NL,COMC,GAS,0.587,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
435,Enecogen 1,NL,COMC,GAS,0.59,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
435,Enecogen 2,NL,COMC,GAS,0.59,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
820,Rijnmond,NL,COMC,GAS,0.5,5,1,0.013297619,0.013297619,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
358.2,Moerdijk I,NL,COMC,GAS,0.525,5,1,0.031114206,0.031114206,112542.12,0,0,0.4,0.525,1,0.45,Steam,2.8,,,,
430,Moerdijk II,NL,COMC,GAS,0.58,5,1,0.026159251,0.026159251,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
800,MVL380 CR10,NL,STUR,HRD,0.395,8,6,0.006839945,0.006839945,117242.17,0,0,0.5,0.395,7,0.95,,,,,,
249,Diemen,NL,COMC,GAS,0.525,5,1,0.016330409,0.016330409,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
435,Diemen 34,NL,COMC,GAS,0.59,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,DHN,1.6730769231,,,,
640,Amer,NL,STUR,HRD,0.395,8,6,0.00777605,0.00777605,117242.17,0,0,0.5,0.395,7,0.95,,,,,,
520,Maasvlakte 1,NL,STUR,HRD,0.395,8,6,0.012254902,0.012254902,117242.17,0,0,0.5,0.395,7,0.95,,,,,,
520,Maasvlakte 2,NL,STUR,HRD,0.395,8,6,0.012254902,0.012254902,117242.17,0,0,0.5,0.395,7,0.95,,,,,,
480,Borssele 30,NL,STUR,NUC,0.405,24,24,0.006971545,0.006971545,200000,0,0,0.9,0.405,72,0,,,,,,
475,TNZ150 ELSTA,NL,COMC,GAS,0.55,5,1,0.024495614,0.024495614,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
435,LLS150FL-5,NL,COMC,GAS,0.55,5,1,0.025560641,0.025560641,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
435,LLS380 FL-4,NL,COMC,GAS,0.525,5,1,0.025678161,0.025678161,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
428,Rijnmond II,NL,COMC,GAS,0.525,5,1,0.026159251,0.026159251,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
403,Borssele 12,NL,STUR,HRD,0.395,8,6,0.012254902,0.012254902,117242.17,0,0,0.5,0.395,7,0.95,,,,,,
355,eem220-ec-5,NL,COMC,GAS,0.55,5,1,0.030941828,0.030941828,112542.12,0,0,0.4,0.525,1,0.45,,,,,,
