,Unit,PowerCapacity,Nunits,Zone,Technology,Fuel,Efficiency,MinUpTime,MinDownTime,RampUpRate,RampDownRate,StartUpCost_pu,NoLoadCost_pu,RampingCost,PartLoadMin,MinEfficiency,StartUpTime,CO2Intensity,CHPType,CHPPowerToHeat,CHPPowerLossFactor,COP,Tnominal,coef_COP_a,coef_COP_b,STOCapacity,STOSelfDischarge,STOMaxChargingPower,STOChargingEfficiency,CHPMaxHeat
RO_STUR_NUC,RO_STUR_NUC,593.0,1.0,RO,STUR,NUC,0.34,24,48,0.05,0.05,300,12.5,2.2,0.25,0.34,12.0,0.0,,,,,,,,,,,,
RO_COMC_GAS,RO_COMC_GAS,405.19230769230774,26.0,RO,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,,,,,,,,,,,,
RO_STUR_HRD,RO_STUR_HRD,442.5,2.0,RO,STUR,HRD,0.42,6,6,0.04,0.04,65,12.5,1.8,0.182119205,0.46,2.0,0.4717,,,,,,,,,,,,
RO_HDAM_WAT,RO_HDAM_WAT,6282.0,1,RO,HDAM,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,2641200.0,0.0,0.0,0.9,
RO_HPHS_WAT,RO_HPHS_WAT,53.0,1,RO,HPHS,WAT,0.94,0,0,1.0,1.0,0,0.0,0.0,0.25,1.0,0.0,0.0,,,,,,,,265.0,0.0,53.0,0.9,
RO_WTON_WIN,RO_WTON_WIN,14557.0,1,RO,WTON,WIN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
RO_PHOT_SUN,RO_PHOT_SUN,10928.0,1,RO,PHOT,SUN,1.0,0,0,0.02,0.02,0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,
RO_BATS_OTH,RO_BATS_OTH,450833.3333333333,1,RO,BATS,OTH,0.9,0,0,1.0,1.0,0,0.0,0.0,0.0,0.9,0.0,0.0,,,,,,,,1803333.3333333333,0.0,0.0,0.9,
RO_BEVS_OTH,RO_BEVS_OTH,43070.0,1,RO,BEVS,OTH,0.7,0,0,1.0,1.0,0,0.0,0.0,0.0,0.7,0.0,0.0,,,,,,,,176586.99999999997,0.0,43070.0,0.88,
RO_STUR_BIO_CHP,RO_STUR_BIO_CHP,152.33333333333334,3.0,RO,STUR,BIO,0.4,4,6,0.02,0.02,120,12.5,1.3,0.4,0.35,1.0,0.417390427,Extraction,0.45,0.23800000000000002,,,,,4062.2222222222226,0.03,,,
RO_COMC_GAS_CHP,RO_COMC_GAS_CHP,319.5,2.0,RO,COMC,GAS,0.51,3,3,0.07,0.07,55,2.9,0.25,0.062171053,0.57,1.0,0.3569,Extraction,0.95,0.213,,,,,4035.789473684211,0.03,,,
